###########Vietnam Region Characters###########

#Vietnamese
#2875 - Tonkinese
#2876 - Annamese 
#2877 - Cochinchinese
#2878 - Muong
#2879 - Hoa

# Lowland Khmer
#1182 - Khrom

#Chamic
#1177 - Cham
#1178 - Jarai

#Hmong-Mien
# 2498 Mien
# 2499 Hmu
# 2500 Hmong

#Northern Tai
# 1022 Tai
# 1023 Bouyei
# 1024 Zhuang
# 1025 Tay-Nung 

###########Vietnamese Dynasties###########

#Nguyen Hoang: The Dynasty of The Post-Event Emperors
2875000={
	name="Quang-Trung"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	occluded=yes
	martial=3
	diplomacy=3
	stewardship=3
	intrigue=3
	learning=3
	trait=legendary
	trait=fortune_builder
	trait=administrator
	trait=physician
	trait=genius
	trait=shrewd
	trait=diligent
	trait=patient
	trait=proud
	trait=deceitful
	trait=poet
	give_nickname=nick_the_restorer
	2120.1.1={birth=yes}
	2150.1.1={
		create_bloodline = {
			type = dragon_son_of_vietnam
		}
	}
	2190.1.1={death=yes}
}
2875001={
	name="Gia Quang"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	occluded=yes
	father=2875000
	martial=3
	diplomacy=3
	stewardship=3
	intrigue=3
	learning=3
	trait=legendary
	trait=brilliant_strategist
	trait=gamer
	trait=shrewd
	trait=groomed
	trait=sturdy
	trait=diligent
	trait=patient
	trait=proud
	trait=just
	trait=falconer
	2170.1.1={birth=yes}
	2230.1.1={death=yes}
}
2875002={
	name="Mang Le"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	occluded=yes
	father=2875001
	martial=1
	diplomacy=3
	stewardship=3
	intrigue=1
	learning=5
	trait=legendary
	trait=scholarly_theologian
	trait=cruel
	trait=shrewd
	trait=groomed
	trait=sturdy
	trait=diligent
	trait=patient
	trait=proud
	trait=just
	trait=zealous
	2210.1.1={birth=yes}
	2270.1.1={death=yes}
}
2875003={
	name="Thieu Minh"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	occluded=yes
	father=2875002
	martial=1
	diplomacy=5
	stewardship=2
	intrigue=1
	learning=4
	trait=legendary
	trait=scholarly_theologian
	trait=charitable
	trait=shrewd
	trait=groomed
	trait=sturdy
	trait=diligent
	trait=patient
	trait=proud
	trait=just
	trait=temperate
	secret_religion=catholic
	2270.1.1={birth=yes}
	2330.1.1={death=yes}
}
2875004={
	name="Giang Minh"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="edlopnlacbb"
	father=2875003
	martial=1
	diplomacy=3
	stewardship=4
	intrigue=1
	learning=3
	trait=scholarly_theologian
	trait=administrator
	trait=shrewd
	trait=groomed
	trait=weak
	trait=diligent
	trait=patient
	trait=proud
	trait=just
	2290.1.1={birth=yes}
	2340.1.1={death=yes}
}
2875005={
	name="Loc"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="abmmqolbacc"
	father=2875004
	martial=1
	diplomacy=2
	stewardship=5
	intrigue=1
	learning=2
	trait=thrifty_clerk
	trait=administrator
	trait=shrewd
	trait=groomed
	trait=shy
	trait=patient
	trait=proud
	trait=just
	trait=slothful
	give_nickname=nick_the_feeble
	2320.1.1={birth=yes}
	2370.1.1={death={death_reason=death_murder_unknown}}
}
2875006={
	name="Vo Tinh"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="abooqohdaaa"
	father=2875004
	martial=1
	diplomacy=2
	stewardship=5
	intrigue=1
	learning=2
	trait=elusive_shadow
	trait=impaler
	trait=cruel
	trait=groomed
	trait=drunkard
	trait=gluttonous
	trait=envious
	trait=proud
	trait=just
	trait=giant
	give_nickname=nick_the_wicked
	2330.1.1={birth=yes}
	2380.1.1={death={death_reason=death_battle}}
}
2875007={
	name="Minh"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="adnmrolbaee"
	father=2875005
	martial=1
	diplomacy=2
	stewardship=5
	intrigue=1
	learning=2
	trait=thrifty_clerk
	trait=administrator
	trait=shrewd
	trait=groomed
	trait=shy
	trait=patient
	trait=proud
	trait=just
	trait=slothful
	give_nickname=nick_the_unready
	2360.1.1={birth=yes}
	2410.1.1={death={death_reason=death_as_a_beggar}}
}
2875008={
	name="Sinh Cung"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="camnooafaee"
	father=2875007
	martial=7
	diplomacy=2
	stewardship=3
	intrigue=1
	learning=2
	trait=brilliant_strategist
	trait=hunter
	trait=shrewd
	trait=scarred_mid
	trait=brave
	trait=strong
	trait=patient
	trait=proud
	trait=just
	trait=robust
	give_nickname=nick_the_fearless
	2400.1.1={birth=yes}
	2440.1.1={death={death_reason=death_battle}}
}
2875009={
	name="Xuan Khu"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="cadajjafade"
	father=2875007
	martial=1
	diplomacy=3
	stewardship=5
	intrigue=1
	learning=2
	trait=thrifty_clerk
	trait=administrator
	trait=shrewd
	trait=diligent
	trait=brave
	trait=content
	trait=patient
	trait=just
	trait=humble
	2400.1.1={birth=yes}
	2460.1.1={death=yes}
}
2875010={
	name="Hung Yen"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="ebdbaaefada"
	father=2875009
	martial=1
	diplomacy=3
	stewardship=5
	intrigue=1
	learning=2
	trait=fortune_builder
	trait=administrator
	trait=shrewd
	trait=diligent
	trait=brave
	trait=content
	trait=patient
	trait=groomed
	trait=just
	trait=honest
	give_nickname=nick_the_lawgiver
	2440.1.1={birth=yes}
	2500.1.1={death=yes}
}
2875011={
	name="Ngo"
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="facceedfada"
	father=2875010
	martial=3
	diplomacy=3
	stewardship=5
	intrigue=1
	learning=3
	trait=tough_soldier
	trait=strategist
	trait=shrewd
	trait=diligent
	trait=brave
	trait=content
	trait=patient
	trait=groomed
	trait=just
	trait=unyielding_leader
	2490.1.1={birth=yes}
	2550.1.1={death={death_reason=death_battle}}
}
2875012={
	name="Thai Tong" #Father to the Current Head
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="facceedfada"
	father=2875011
	martial=3
	diplomacy=5
	stewardship=5
	intrigue=1
	learning=3
	trait=charismatic_negotiator
	trait=shrewd
	trait=diligent
	trait=brave
	trait=content
	trait=patient
	trait=groomed
	trait=just
	2540.1.1={birth=yes}
	2570.1.1={add_spouse=2875013}
	2610.1.1={death=yes}
}
2875013={
	name="Van" #Mother to the Current Head
	dynasty=2875004 #Nguyen Hoang Wife/Consort to Thai Tong
	culture=tonkinese
	religion=mahayana
	dna="facceedfada"
	female=yes
	martial=3
	diplomacy=5
	stewardship=5
	intrigue=1
	learning=3
	trait=charismatic_negotiator
	trait=shrewd
	trait=diligent
	trait=brave
	trait=content
	trait=patient
	trait=groomed
	trait=just
	2540.1.1={birth=yes}
	2570.1.1={add_spouse=2875012}
	2610.1.1={death=yes}
}
2875014={
	name="Manh Lai" #2605 Start Character
	dynasty=2875000 #Nguyen Hoang
	culture=tonkinese
	religion=mahayana
	dna="cfimkolbecc"
	father=2875012
	mother=2875013
	martial=3
	diplomacy=3
	stewardship=4
	intrigue=5
	learning=5
	trait=charismatic_negotiator
	trait=scholar
	trait=brave
	trait=content
	trait=trusting
	trait=lustful
	2580.1.1={birth=yes}
}
#Minor Tonkinese Lords
2875015={ #Duke of Nam Dinh
	name="Minh"
	dynasty=2875001
	culture=tonkinese
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=4
	intrigue=5
	learning=5
	trait=charismatic_negotiator
	trait=scholar
	trait=brave
	trait=content
	trait=trusting
	trait=lustful
	2580.1.1={birth=yes}
}
2875016={ #Duke of Hai Phoung
	name="Doang"
	dynasty=2875002
	culture=tonkinese
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=4
	intrigue=5
	learning=5
	trait=charismatic_negotiator
	trait=scholar
	trait=brave
	trait=content
	trait=trusting
	trait=lustful
	2580.1.1={birth=yes}
}
2875017={ #Duke of Ha Long
	name="Duc"
	dynasty=2875003
	culture=tonkinese
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=4
	intrigue=5
	learning=5
	trait=charismatic_negotiator
	trait=scholar
	trait=brave
	trait=content
	trait=trusting
	trait=lustful
	2580.1.1={birth=yes}
}
2875018={ #Chair of BIDV
	name="Lâm"
	dynasty=2875006
	culture=tonkinese
	religion=mahayana
	martial=1
	diplomacy=2
	stewardship=7
	intrigue=1
	learning=6
	trait=thrifty_clerk
	trait=administrator
	trait=shrewd
	trait=slothful
	trait=stubborn
	trait=cruel
	trait=ambitious
	trait=quick
	2582.1.1={birth=yes}
}
#Grandmaster of the Eucharistic Knights of La Vang
2875019={
	name="Van Ðon"
	dynasty=2875007
	culture=tonkinese
	religion=catholic
	martial=5
	diplomacy=3
	stewardship=5
	intrigue=1
	learning=6
	trait=mastermind_theologian
	trait=theologian
	trait=diligent
	trait=humble
	trait=erudite
	trait=brave
	trait=genius
	trait=physician
	trait=strong
	2550.1.1={birth=yes}
}
#Minor Annamese Lords
2876000={
	name="Vinh" #Duke of Nghe Tinh
	dynasty=2876000
	culture=annamese
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=4
	intrigue=5
	learning=5
	trait=charismatic_negotiator
	trait=scholar
	trait=brave
	trait=content
	trait=trusting
	trait=lustful
	2580.1.1={birth=yes}
}
2876001={
	name="Vu" #Coffee King of Da Nang
	dynasty=2876001
	culture=annamese
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=8
	intrigue=2
	learning=2
	trait=fortune_builder
	trait=scholar
	trait=shrewd
	trait=content
	trait=trusting
	trait=diligent
	trait=administrator
	2580.1.1={birth=yes}
}
2876002={ 
	name="Giang" #Count of Quang Nam
	culture=annamese
	dynasty=2876002
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=8
	intrigue=5
	learning=5
	trait=martial_cleric
	trait=shy
	trait=humble
	trait=content
	trait=trusting
	trait=just
	2580.1.1={birth=yes}
}
2876003={
	name="Xuan" #Count of Quang Ngai
	culture=annamese
	dynasty=2876003
	religion=mahayana
	martial=3
	diplomacy=3
	stewardship=8
	intrigue=5
	learning=5
	trait=martial_cleric
	trait=shy
	trait=kind
	trait=content
	trait=trusting
	trait=just
	2580.1.1={birth=yes}
}
#Vietnamese Archprimate and Succeeding Bishops of Hue
2876004={
	name="Van Dinh" #Primate Antoine
	culture=annamese
	dynasty=2876005 #Huynh
	religion=catholic
	martial=0
	diplomacy=10
	stewardship=5
	intrigue=0
	learning=10
	trait=theologian
	trait=zealous
	trait=kind
	trait=content
	trait=trusting
	trait=just
	2370.8.6={birth=yes}
	2450.8.6={death=yes}
}
#The Sons of Martyrs and Saints: Nguyen Minh
2877000={
	name="Lac"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	occluded=yes
	martial=10
	diplomacy=3
	stewardship=2
	intrigue=3
	learning=10
	trait=misguided_warrior
	trait=peasant_leader
	trait=theologian
	trait=erudite
	trait=brave
	trait=zealous
	give_nickname=nick_the_martyr
	2270.1.1={birth=yes}
	2325.1.1={death={death_reason=death_battle}}
}
2877001={
	name="Dung"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	occluded=yes
	father=2877000
	martial=3
	diplomacy=3
	stewardship=2
	intrigue=3
	learning=3
	trait=misguided_warrior
	trait=dull
	trait=theologian
	trait=erudite
	trait=craven
	trait=shy
	2320.1.1={birth=yes}
	2370.1.1={death=yes}
}
2877002={
	name="Mang"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	dna="bcimknlbeca"
	father=2877001
	martial=10
	diplomacy=3
	stewardship=2
	intrigue=3
	learning=7
	trait=martial_cleric
	trait=peasant_leader
	trait=theologian
	trait=strong
	trait=sturdy
	trait=erudite
	trait=brave
	trait=zealous
	2350.1.1={birth=yes}
	2410.1.1={death=yes}
}
2877003={
	name="Xuan"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	dna="ecimknmadca"
	father=2877002
	martial=3
	diplomacy=10
	stewardship=2
	intrigue=3
	learning=7
	trait=scholarly_theologian
	trait=architect
	trait=theologian
	trait=strong
	trait=sturdy
	trait=kind
	trait=charitable
	trait=temperate
	give_nickname=nick_the_saint
	2390.1.1={birth=yes}
	2460.12.25={death=yes}
}
2877004={
	name="Dao"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	dna="echmkoladae"
	father=2877003
	martial=3
	diplomacy=3
	stewardship=2
	intrigue=3
	learning=3
	trait=charismatic_negotiator
	trait=theologian
	trait=diligent
	trait=humble
	trait=sturdy
	trait=erudite
	trait=content
	trait=zealous
	2440.1.1={birth=yes}
	2500.1.1={death=yes}
}
2877005={
	name="Lanh"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	dna="bcjmiolcdcb"
	father=2877004
	martial=0
	diplomacy=0
	stewardship=0
	intrigue=3
	learning=3
	trait=naive_appeaser
	trait=chaste
	trait=stutter
	trait=humble
	trait=sturdy
	trait=arbitrary
	trait=cruel
	trait=content
	trait=zealous
	2485.1.1={birth=yes}
	2555.1.1={death=yes}
}
2877006={
	name="Cong Tho"
	dynasty=2877000 #Nguyen Minh
	culture=cochinchinese
	religion=catholic
	dna="acfgiolaaaa"
	father=2877005
	martial=3
	diplomacy=3
	stewardship=3
	intrigue=3
	learning=3
