#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_chubu;Chubu;Chubu;Chubu;;Chubu;;;;;;;;;x
k_chubu_adj;Chubian;;chuber;;;;;;;;;;;x
k_chugoku;Chugoku;Chugoku;Chugoku;;Chugoku;;;;;;;;;x
k_chugoku_adj;Chugokian;;chugoker;;;;;;;;;;;x
k_davao;Davao;Davao;Davao;;Davao;;;;;;;;;x
k_davao_adj;Davian;;daver;;;;;;;;;;;x
k_east_visayas;East Visayas;East Visayas;East Visayas;;East Visayas;;;;;;;;;x
k_east_visayas_adj;East Visayasian;;East Visayaser;;;;;;;;;;;x
k_gia_dhinh;Gia Ðinh;Gia Ðinh;Gia Ðinh;;Gia Ðinh;;;;;;;;;x
k_gia_dhinh_adj;Gia Ðinhian;;Gia Ðinher;;;;;;;;;;;x
k_hokkaido;Hokkaido;Hokkaido;Hokkaido;;Hokkaido;;;;;;;;;x
k_hokkaido_adj;Hokkaidian;;hokkaider;;;;;;;;;;;x
k_kampuchea;Kampuchea;Kampuchea;Kampuchea;;Kampuchea;;;;;;;;;x
k_kampuchea_adj;Kampuchean;;kampucher;;;;;;;;;;;x
k_kansai;Kansai;Kansai;Kansai;;Kansai;;;;;;;;;x
k_kansai_adj;Kansian;;kanser;;;;;;;;;;;x
k_kanto;Kanto;Kanto;Kanto;;Kanto;;;;;;;;;x
k_kanto_adj;Kantian;;kanter;;;;;;;;;;;x
k_katagalugan;Katagalugan;Katagalugan;Katagalugan;;Katagalugan;;;;;;;;;x
k_katagalugan_adj;Katagaluganian;;katagaluganer;;;;;;;;;;;x
k_kyushu;Kyushu;Kyushu;Kyushu;;Kyushu;;;;;;;;;x
k_kyushu_adj;Kyushian;;kyusher;;;;;;;;;;;x
k_lan_xang;Lan Xang;Lan Xang;Lan Xang;;Lan Xang;;;;;;;;;x
k_lan_xang_adj;Lan Xangian;;Lan Xanger;;;;;;;;;;;x
k_luzon;Luzon;Luzon;Luzon;;Luzon;;;;;;;;;x
k_luzon_adj;Luzonian;;luzoner;;;;;;;;;;;x
k_shikoku;Shikoku;Shikoku;Shikoku;;Shikoku;;;;;;;;;x
k_shikoku_adj;Shikokian;;shikoker;;;;;;;;;;;x
k_thang_long;Thang Long;Thang Long;Thang Long;;Thang Long;;;;;;;;;x
k_thang_long_adj;Thang Longian;;Thang Longer;;;;;;;;;;;x
k_thuan_hoa;Thuân Hóa;Thuân Hóa;Thuân Hóa;;Thuân Hóa;;;;;;;;;x
k_thuan_hoa_adj;Thuân Hóan;;Thuân Hóer;;;;;;;;;;;x
k_tohoku;Tohoku;Tohoku;Tohoku;;Tohoku;;;;;;;;;x
k_tohoku_adj;Tohokian;;tohoker;;;;;;;;;;;x
k_west_visayas;West Visayas;West Visayas;West Visayas;;West Visayas;;;;;;;;;x
k_west_visayas_adj;West Visayasian;;West Visayaser;;;;;;;;;;;x
k_zamboanga;Zamboanga;Zamboanga;Zamboanga;;Zamboanga;;;;;;;;;x
k_zamboanga_adj;Zamboangan;;zamboanger;;;;;;;;;;;x
