###########Great Works Features###########
upgrade_statue_lord_buddha;Statue of the Lord Buddha;;;;;;;;;;;;;x
upgrade_statue_lord_buddha_desc;This immaculate statue of The Buddha, Shakyamuni, stands poised upon a lotus before you.;;;;;;;;;;;;;x
upgrade_statue_quan_am;Statue of the Buddha of Compassion;;;;;;;;;;;;;x
upgrade_statue_quan_am_desc;This immaculate statue of the Buddha of Compassion, Quan Am, stands poised upon a lotus before you.;;;;;;;;;;;;;x
upgrade_perfume_cauldron;Perfume Cauldron;;;;;;;;;;;;;x
upgrade_perfume_cauldron_desc;This Worn Cauldron is used to scent the air with lavender.;;;;;;;;;;;;;x
upgrade_tenshu;Tenshu Fortification;;;;;;;;;;;;;x
upgrade_tenshu_desc;The Grand Central Keep that rises above all others in the Castle Complex, standing upon a foundation of dry stone.;;;;;;;;;;;;;x
upgrade_cherry_blossom_orchard;Cherry Blossom Orchard;;;;;;;;;;;;;x
upgrade_cherry_blossom_orchard_desc;A Cherry Blossom Grove is present providing a beautiful sakura display every spring.;;;;;;;;;;;;;x
