###########Government Systems###########
mandala_government;Mandala;;;;;;;;;;;;;x
mandala_government_desc;The mandala system of state relations arose long ago with the arrival of Indian traders in Southeast Asia and has returned in more recent centuries. Courtly and ritual extravagance -- which is funded by a vast and complex trade network -- plays a crucial role in the conception of the mandala. The hegemonic king is the center of the mandala with their spiritual and political authority radiating from their capital. The understanding between ruler and subject is less rigidly hierarchical than other forms of government. The subject enjoys greater autonomy and their fealty is to an individual ruler rather than a realm, and as a result hegemonies both rise and fall with ease.;;;;;;;;;;;;;x
gov_mandala_noble_state;Noble Mandala Realm;;;;;;;;;;;;;x
gov_mandala_princely_state;Princely Mandala Realm;;;;;;;;;;;;;x
gov_mandala_princely_hegemony;Hegemonic Mandala Power;;;;;;;;;;;;;x
malaysian_confederacy;Malaysian Federation;;;;;;;;;;;;;x
malaysian_confederacy_desc;The government of the Malaysian Federation is inspired by the Constitution of pre-Event Malaysia, or rather what little is still remembered. Under this form of government, the right for a lord to practice their own faith free of interference from others is enshrined by law. Instead, nobles are encouraged to set aside their differences and instead work towards unity driven by an identity that transcends religion. An overlord cannot infringe on their vassals on the basis of their faith, and opinion penalties based on religious differences are reduced. Also enshrined is the ideal of "democracy", the right for the kings of the land to elect their first among equals. In return, however, the lords of the land have the obligation to help defend the Federation in times of crisis.;;;;;;;;;;;;;x
gov_elective_malaysian_princely_states;Princely Malaysian Federation;;;;;;;;;;;;;x

gov_buddhist_republic;Buddhist Republic;;;;;;;;;;;;;x

sinic_bureaucracy_government;Sinic Bureaucracy;;;;;;;;;;;;;x
sinic_bureaucracy_government_desc;The Government of Highly Sinicized Cultures of East Asia, The Legalist traditions of China permeate every aspect of culture and understanding born by these sovereigns along the periphery of China. The Sovereign of the State rules a highly bureaucratic state and is expected to be a model citizen of the realm, espousing great virtues and placing great effort to a myriad of government sponsored projects and rituals.;;;;;;;;;;;;;x

gov_sinic_bureaucracy_realm;Bureaucratic Realm;;;;;;;;;;;;;x
gov_sinic_bureaucracy_hegemony;Great Bureaucratic State;;;;;;;;;;;;;x
gov_hui_state;Sublime Hui State;;;;;;;;;;;;;x


###Succession Type Localization###

confederation_elective;Diet Elective;;;;;;;;;;;;;x
succ_confederation_elective;Diet Elective;;;;;;;;;;;;;x
