###########Australia Title Localization###########
WESTERN_GOVERNOR_MALE;Protector General;Général-Protecteur;Generalprotektor;;Protector general;;;;;;;;;x
WESTERN_GOVERNOR_FEMALE;Protector General;Générale-Protectrice;Generalprotektorin;;Protectora general;;;;;;;;;x
WESTERN_GOVERNOR_TITLE_FOA;Your Illustriousness;Votre Illustre Grandeur;Eure Erhabenheit;;Su Ilustrísima;;;;;;;;;x
china_stable;Stable;Stable;Stabil;;Estable;;;;;;;;;x
china_unrest;Unrest;Agitation;Unruhe;;Descontento;;;;;;;;;x
china_civil_war;Civil War;Guerre civile;Bürgerkrieg;;Guerra civil;;;;;;;;;x
china_mongol_invasion;Being Invaded by Bogan Hordes;Invasion par les Mongols;Wird von Mongolen überfallen;;Invadidos por los mongoles;;;;;;;;;x
china_jurchen_invasion;Being Invaded by Ozlander Princes;Invasion par les Jurchen;Wird von Jurchen überfallen;;Invadidos por los yurchen;;;;;;;;;x
china_famine;Great Famine;Grande famine;Große Hungersnot;;Gran hambruna;;;;;;;;;x
china_plague;Devastating Plague;Épidémie dévastatrice;Verheerende Pest;;Peste devastadora;;;;;;;;;x
china_golden_age;Golden Age;Age d'or;Goldenes Zeitalter;;Edad de Oro;;;;;;;;;x
TXT_GRACE;Favor;Grâce;Gunst;;Gracia;;;;;;;;;x
title_commonwealth_president;Governor-General;Empereur;Kaiser;;Emperador;;;;;;;;;x
china_china;Australian;Australian;Australian;;Australian;;;;;;;;;x
china_china_full;The Commonwealth;Empire chinois;Chinesisches Kaiserreich;;Imperio chino;;;;;;;;;x

OFFMAP_VIEW_BUTTON_INSTANT;$OFFMAP|Y$\nOpen interaction with §Y$OFFMAP_SHORT$ Australia§!.;$OFFMAP|Y$\nOuvrir l'écran d'interaction avec la §Y$OFFMAP_SHORT$§!.;$OFFMAP|Y$\nInteraktion mit §Y$OFFMAP_SHORT$-Australia§§! öffnen.;;$OFFMAP|Y$\n¡Interacción abierta con §Y$OFFMAP_SHORT$ Australia§§!.;;;;;;;;;x

##ARTIFACTS##
brass_elephant;Brass Elephant;;;;;;;;;;;;;x
brass_elephant_name;Brass Elephant;;;;;;;;;;;;;x
brass_elephant_desc;An intricately-crafted brass figurine of an indian elephant said to be an auspicous animal among the Indians. Despite its humble appearance, statuettes such as these are valued, and having one is a sign that the Peacock Throne wishes prosperity upon you.;;;;;;;;;;;;;x
indian_rani_haar;Rani Haar;;;;;;;;;;;;;x
indian_rani_haar_name;Rani Haar;;;;;;;;;;;;;x
